"Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"Other Half Brewing Company","Motueka/Galaxy","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Imaginary Greenscapes","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Simcoe + Wai-iti","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Broccoli","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Green Down To The Socks","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Broccoli","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Double Dry Hopped Forever Simcoe","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Mylar Bags","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Dream In Green","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Other Half Brewing Company","Fully Frothed","195 Centre St","","Brooklyn","NY","11231","40.673855",-73.99908
"Otter Creek Brewing","Free Flow IPA","793 Exchange St","","Middlebury","VT","5753","44.0293756",-73.1745362
"Otter Creek Brewing","25th Anniversary Double IPL","793 Exchange St","","Middlebury","VT","5753","44.0293756",-73.1745362
"Parish Brewing Company","Double Dry Hopped Envie","229 Jared Dr","","Broussard","LA","70518","30.159067",-91.951422
"Peg's Cantina & Brew Pub","3rd Anniversary BA Jamaica Blue Mountain","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","Rare DOS Blue - Aged In Woodford Reserve Barrels","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","Trademark Dispute: Vanilla","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","3rd Anniversary BA Ethiopia Yirgacheffe","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","Rare DOS Red - Aged In Wild Turkey Barrels","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","Rare DOS White - Aged In Heaven Hills Barrels","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","3rd Anniversary BA Vietnamese (Da Lat)","Closed","","","","0","47.0525739",-122.2942229
"Peg's Cantina & Brew Pub","3rd Anniversary BA Mostra Coffee (Brazil Oberon)","Closed","","","","0","47.0525739",-122.2942229
"Perrin Brewery","Unfinished Business","5910 Comstock Park Dr NW","","Comstock Park","MI","49321","43.0713315",-85.6836078
"Pipeworks Brewing Company","Mandarin Dragonet","3912 W McLean Ave","","Chicago","IL","60647","41.9181739",-87.72612963
"Prairie Artisan Ales","Pirate Paradise","1803 S 49th West Ave","","Tulsa","OK","74107","41.9181739",-87.72612963
"Prairie Artisan Ales","Barrel Aged Bible Belt","1803 S 49th West Ave","","Tulsa","OK","74107","41.9181739",-87.72612963
"Prairie Artisan Ales","Barrel Aged Christmas Bomb","1803 S 49th West Ave","","Tulsa","OK","74107","41.9181739",-87.72612963
"Prairie Artisan Ales","Paradise","1803 S 49th West Ave","","Tulsa","OK","74107","41.9181739",-87.72612963
"Prairie Artisan Ales","Funky Gold Citra","1803 S 49th West Ave","","Tulsa","OK","74107","41.9181739",-87.72612963
"Ram Restaurant & Brewery","Juicy","Various: 1901 McConnor Pkwy","Ste 4-103","Schaumburg","IL","60173","42.0539178",-88.0330751
"RAR Brewing (Realerevival)","1st Meal (Barrel Aged)","504 Poplar St","","Cambridge","MD","21613","38.5702568",-76.0797356
"River Horse Brewing Company","Hippotizing IPA","2 Graphics Dr","","Ewing Township","NJ","8628","40.2765859",-74.7987052
"River Horse Brewing Company","Hippo's Hand","2 Graphics Dr","","Ewing Township","NJ","8628","40.2765859",-74.7987052
"Rogue Ales","Hazelutely Choctabulous","2320 SE Marine Science Dr",""," Newport","OR","97365","37.954205",-119.8470415
"Saint Arnold Brewing Company","Saint Arnold Divine Reserve 17","2000 Lyons Ave","","Houston","TX","77020","29.771119",-95.3507547
"Sand City Brewing Company","Second Wave","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Sand City Brewing Company","Even Mo Mofo","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Sand City Brewing Company","ONE","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Sand City Brewing Company","Power Of One (Galaxy/Nelson)","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Sand City Brewing Company","The Whole Shebang (LIC Beer Project Collaboration)","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Sand City Brewing Company","Infinity + ONE","60 Main St","","Northport","NY","11768","40.8999112",-73.3530317
"Scofflaw Brewing Company","Double Jeopardy","1738 MacArthur Blvd NW","","Atlanta","GA","30318","33.8132889",-84.4470655
"Scofflaw Brewing Company","Basement IPA","1738 MacArthur Blvd NW","","Atlanta","GA","30318","33.8132889",-84.4470655
"Side Project Brewing","Jammy","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Saison Du Fermier- Foedre Fermier","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Saison Du Fermier Aged In Pinot Noir Puncheons","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Saison Du Fermier - Foedre Fermier","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Saison Du Fermier - Pinot Noir Puncheons","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Side Project Brewing","Pulling Nails Blend #4","7373 Marietta Ave","","Maplewood","MI","63143","36.9822865",-121.9405747
"Sierra Nevada Brewing Company","Cherry Chocolate Stout","1075 E. 20th Street","","Chico","CA","95928","40.59335825",-105.0678421
"SingleCut Beersmiths","Workers Are Going Home IIPA","19-33 37th St","","Queens","NY","11105","38.6120101",-90.31941177
"SingleCut Beersmiths","Harry Doesn't Mind IIPA","19-33 37th St","","Queens","NY","11105","38.6120101",-90.31941177
"SingleCut Beersmiths","Weird & Gilly","19-33 37th St","","Queens","NY","11105","38.6120101",-90.31941177
"SingleCut Beersmiths","Jenny Said","19-33 37th St","","Queens","NY","11105","38.6120101",-90.31941177
"Southern Tier Brewing Company","Nu Skool IPA","2072 Stoneman Cir","","Lakewood","NY","14750","41.2622393",-80.8009585
"Southern Tier Brewing Company","Thick Mint Imperial Stout (Blackwater Series)","2072 Stoneman Cir","","Lakewood","NY","14750","41.2622393",-80.8009585
"Southern Tier Brewing Company","Thick Mint (Blackwater Series)","2072 Stoneman Cir","","Lakewood","NY","14750","41.2622393",-80.8009585
"Steamworks Brewing Company","Flagship India Pale Ale","801 E 2nd Ave","","Durango","CO","81301","37.2723368",-107.882191
"Stigbergets Bryggeri","Stigbergets Gbg Beer Week 2016","Gamla Varvsgatan 1","","Göteborg","Sweden","414 59 ","57.6986059",11.9286729
"Stillwater Artisanal Ales","Gose Gone Wild World Tour! - Phuket","1028 S Conkling St","","Baltimore","MD","21224","39.2807461",-76.5691672
"Stillwater Artisanal Ales","Gose Gone Wild World Tour-Phuket","1028 S Conkling St","","Baltimore","MD","21224","39.2807461",-76.5691672
"Stillwater Artisanal Ales","Gose Gone Wild World Tour- Tijuana","1028 S Conkling St","","Baltimore","MD","21224","39.2807461",-76.5691672
"Stillwater Artisanal Ales","Hopvine Bling","1028 S Conkling St","","Baltimore","MD","21224","39.2807461",-76.5691672
"Stone Brewing","Stone 20th Anniversary Citracado IPA","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","20th Anniversary Encore Series: Stone 15th Anniversary Escondidian Imperial","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","20th Anniversary Encore Series: Stone 10th Anniversary IPA","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","Hop Revolver IPA - Loral","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","20th Anniversary Encore Series: Beachwood/Heretic/Stone Still Unapologetic","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","Bitter Chocolate Oakmeal Bourbon Barrel Stout","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","Give Me IPA Or Give Me Death","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Stone Brewing","Marble / Odell / Stone Megawheat Double IPA","1999 Citracado Parkway","","Escondido","CA","92029","33.11594475",-117.1199645
"Suarez Family Brewery","Palatine Pils","2278 U.S. 9","","Hudson","NY","12534","42.110981",-73.8145327
"Suarez Family Brewery","Hecto","2278 U.S. 9","","Hudson","NY","12534","42.110981",-73.8145327
"Suarez Family Brewery","Crispy Little","2278 U.S. 9","","Hudson","NY","12534","42.110981",-73.8145327
"Summit Brewing Company","Unchained Series Batch No. 23 - Dark Infusión (A Coffee Milk Stout)","910 Montreal Cir","","St Paul","MN","55102","44.914066",-93.1417977
"Surly Brewing Company","Ten Ale","4811 Dusharme Dr","","Brooklyn Center","MN","55429","45.04294225",-93.32438933
"Surly Brewing Company","Darkness-Barrel Aged 2016","4811 Dusharme Dr","","Brooklyn Center","MN","55429","45.04294225",-93.32438933
"SweetWater Brewing Company","Sweetwater Dank Tank Smokey And The Brett","195 Ottley Dr NE","","Atlanta","GA","30324","33.8083449",-84.3829239
"Terrapin Beer Company","Terrapin Tart Cherry W-n-B","265 Newton Bridge Rd","","Athens","GA","30607","33.980502",-83.3988743
"The Alchemist","Broken Spoke","35 Crossroad","","Waterbury","VT","5676","32.83283939",-117.1499567
"The Alchemist","Skadoosh","35 Crossroad","","Waterbury","VT","5676","32.83283939",-117.1499567
"The Alchemist","Hellbrook","35 Crossroad","","Waterbury","VT","5676","32.83283939",-117.1499567
"The Alchemist","Pappy's Porter","35 Crossroad","","Waterbury","VT","5676","32.83283939",-117.1499567
"The Alchemist Brewery and Visitors Center","Broken Spoke","100 Cottage Club Rd","","Stowe","VT","5672","44.4762604",-72.7166371
"The Alchemist Brewery and Visitors Center","Skadoosh","100 Cottage Club Rd","","Stowe","VT","5672","44.4762604",-72.7166371
"The Alchemist Brewery and Visitors Center","Crusher","100 Cottage Club Rd","","Stowe","VT","5672","44.4762604",-72.7166371
"The Bruery","Melange No. 15","715 Dunn Way","","Placentia","CA","92870","33.8612257",-117.8801465
"The Bruery","The Grade","715 Dunn Way","","Placentia","CA","92870","33.8612257",-117.8801465
"The Bruery","Frucht: Yumberry","715 Dunn Way","","Placentia","CA","92870","33.8612257",-117.8801465
"The Lost Abbey","Veritas 018","155 Mata Way #104","","San Marcos","CA","92069","30.20898494",-95.75217492
"The Schlafly Tap Room","Ibex Series: Barrel-Aged Imperial Stout","2100 Locust St","","St. Louis","MO","63103","38.6330458",-90.2119459
"The Tap Brewing Company","Solar Plexus","100 Washington St","","Haverhill","MA","1832","42.7727232",-71.0874632
"The Veil Brewing Company","We Ded Mon","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Whiteferrari","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Crucial Crucial Taunt Taunt","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Lord Lord Shredder Shredder","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Master Master Shredder Shredder","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Crucial Crucial Aunt Aunt","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Step Dad Chaperone","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Crucial Aunt","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Broz Night Out","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Toof Ache","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","IdonteverwanttoBU","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Eternal Shredder","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","Single Brothers","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"The Veil Brewing Company","IdonteverEVERwanttoBU","1301 Roseneath Rd","","Richmond","VA","23230","37.5683137",-77.477533
"Thomas Hooker Brewing Company","NO FILTER IPA","16 Tobey Rd","","Bloomfield","CT","6002","41.809184",-72.7128777
"Three Floyds Brewing Company","Crack The Skye","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"Three Floyds Brewing Company","Red Death - Skeletonwitch","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"Three Floyds Brewing Company","Blood Of The Sunsets","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"Tired Hands Brewing Company","Technicolor Splendor","16 Ardmore Ave","","Ardmore","PA","19003","43.758828",-69.320989
"Tired Hands Brewing Company","INTENSELY JUICY DANK BEAUTIFUL (COPY AND PASTE) ","16 Ardmore Ave","","Ardmore","PA","19003","43.758828",-69.320989
"Tired Hands Brewing Company","Double Watermelon Milkshake IPA","16 Ardmore Ave","","Ardmore","PA","19003","43.758828",-69.320989
"Tired Hands Brewing Company","Oblivex","16 Ardmore Ave","","Ardmore","PA","19003","43.758828",-69.320989
"Tired Hands Brewing Company","Mango Double Milkshake IPA","16 Ardmore Ave","","Ardmore","PA","19003","43.758828",-69.320989
"Toppling Goliath Brewing Company","Barrel Aged Chain Smoker - Cycle Brewing Collaboration","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","Double Dry Hop PseudoSue (Citra)","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","Xhops Silver","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","XHOPS (Pink Label)","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","Galaxy Dry Hopped PseudoSue","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","NugMo - Golden Nugget With Mosaic","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Toppling Goliath Brewing Company","Term Oil","310 College Dr","","Decorah","IO","52101","41.5353502",-87.5165134
"Transient Artisan Ales","The Juice Is Loose","4229 Lake St","","Bridgman","MI","49106","41.943286",-86.5578887
"Transient Artisan Ales","Kentuckley","4229 Lake St","","Bridgman","MI","49106","41.943286",-86.5578887
"Transient Artisan Ales","Cromulent","4229 Lake St","","Bridgman","MI","49106","41.943286",-86.5578887
"Tree House Brewing Company","King JJJuliusss","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","4th Anniversary Double Shot","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Thirty Three","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Bright W/ Nelson","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Twenty Eight","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Pride & Purpose","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Thirty One","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","All That Is And All That Ever Will Be","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Double Shot- Batch 500","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Double Shot - Costa Rica Montes De Oro","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Bright W/ Simcoe & Amarillo","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Super Sap","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Thirty Two","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Double Shot - Columbia El Novado","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Twenty Nine","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Bright W/ Citra","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Doubleganger","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Native One","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Thirty","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Thirty Four","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Double Shot - Guatemala Bella Vista","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Double Shot - Burundi Mpanga Kirema","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Tree House Brewing Company","Curiosity Twenty Seven","160 E Hill Rd","","Monson","MA","1057","42.08938597",-72.28960609
"Trillium Brewing Company","Dialed In (w/  Pinot Gris Juice)","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Stillings Street IPA","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Nelson Dry Hopped Fort Point","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Dialed In (w/ Chardonnay & Gewürztraminer Juice)","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Outside The Lines - Barrel Aged","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Pipsqueak Penguin","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Cutting Tiles (El Dorado)","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Dusk Trill Dawn","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","The Streets","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Board Shorts","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Outside The Lines","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Cutting Tiles (Citra)","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Free Rise - Nelson Dry Hopped","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","SIGTEBRØD","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Trillikini","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Raspberry Soak","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Small Bird Series: Pipsqueak Penguin","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Cutting Tiles (Galaxy)","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","IwanttoBU","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","TRILLBOMB!","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","PM Dawn W/ Cold Brew Coffee","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Double Dry Hopped Stillings Street IPA","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Pow Pow","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Peach Soak","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Trillium Brewing Company","Hundred Thousand Trillion","369 Congress St","","Boston","MA","2210","42.08938597",-72.28960609
"Two Roads Brewing Company","Two Juicy","1700 Stratford Ave","","Stratford","CT","6615","41.1862668",-73.1443408
"Upper Pass Beer Company","First Drop","VT 110","","Tunbridge","VT","5077","43.8993275",-72.4873874
"WeldWerks Brewing Company","Barrel Aged Mexican Achromatic","508 8th Ave","","Greeley","CO ","80631","40.428113",-104.6927021
"Westbrook Brewing Company","2016 Bourbon (Willett) BA Mexican Cake","510 Ridge Rd","","Mt Pleasant","SC","29464","41.6372706",-80.1547476
"Westbrook Brewing Company","6th Anniversary Hazelnut Chocolate Imperial Stout","510 Ridge Rd","","Mt Pleasant","SC","29464","41.6372706",-80.1547476
"Weyerbacher Brewing Company","Sunday Molé Stout","905 Line St","","Easton","PA","18042","40.6732415",-75.2278958
"Wicked Weed Brewing","Barrel-Aged Xibalba","91 Biltmore Ave","","Asheville","NC","28801","35.591694",-82.5532212
"Wicked Weed Brewing","Garçon De Ferme","91 Biltmore Ave","","Asheville","NC","28801","35.591694",-82.5532212
"Wicked Weed Brewing","Pacificmost Gose","91 Biltmore Ave","","Asheville","NC","28801","35.591694",-82.5532212
"Wicked Weed Brewing","Juiceless","91 Biltmore Ave","","Asheville","NC","28801","35.591694",-82.5532212
"Crooked Stave Artisan Beer Project","Batch #200","3350 Brighton Blvd","","Denver","CO","80216","39.7685881",-104.979519
